year,gpci_work,gpci_pe,gpci_mp,locality,loc_description,mac,mac_description
2026,1.000,1.000,1.000,0000000,NATIONAL,00000,NATIONAL
2026,1.095,1.410,0.425,0111205,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO/SAN MATEO/ALAMEDA/CONTRA COSTA CNTY),01112,NORTHERN CALIFORNIA
2026,1.110,1.442,0.397,0111209,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),01112,NORTHERN CALIFORNIA
2026,1.063,1.318,0.508,0111251,NAPA,01112,NORTHERN CALIFORNIA
2026,1.095,1.410,0.459,0111252,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY),01112,NORTHERN CALIFORNIA
2026,1.063,1.318,0.459,0111253,VALLEJO,01112,NORTHERN CALIFORNIA
2026,1.019,1.096,0.609,0111254,BAKERSFIELD,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111255,CHICO,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111256,FRESNO,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111257,HANFORD-CORCORAN,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111258,MADERA,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111259,MERCED,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111260,MODESTO,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111261,REDDING,01112,NORTHERN CALIFORNIA
2026,1.018,1.096,0.853,0111262,RIVERSIDE-SAN BERNARDINO-ONTARIO,01112,NORTHERN CALIFORNIA
2026,1.036,1.163,0.536,0111263,SACRAMENTO-ROSEVILLE-FOLSOM,01112,NORTHERN CALIFORNIA
2026,1.031,1.159,0.536,0111264,SALINAS,01112,NORTHERN CALIFORNIA
2026,1.110,1.442,0.536,0111265,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),01112,NORTHERN CALIFORNIA
2026,1.021,1.215,0.536,0111266,SANTA CRUZ-WATSONVILLE,01112,NORTHERN CALIFORNIA
2026,1.030,1.228,0.536,0111267,SANTA ROSA-PETALUMA,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111268,STOCKTON,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111269,VISALIA,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111270,YUBA CITYEDS01,01112,NORTHERN CALIFORNIA
2026,1.017,1.096,0.536,0111275,REST OF CALIFORNIA,01112,NORTHERN CALIFORNIA
2026,1.028,1.182,0.623,0118217,OXNARD-THOUSAND OAKS-VENTURA,01182,SOUTHERN CALIFORNIA
2026,1.041,1.183,0.664,0118218,LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES/ORANGE CNTY),01182,SOUTHERN CALIFORNIA
2026,1.017,1.096,0.541,0118271,EL CENTRO,01182,SOUTHERN CALIFORNIA
2026,1.030,1.196,0.542,0118272,SAN DIEGO-CHULA VISTA-CARLSBAD,01182,SOUTHERN CALIFORNIA
2026,1.017,1.139,0.536,0118273,SAN LUIS OBISPO-PASO ROBLES,01182,SOUTHERN CALIFORNIA
2026,1.028,1.166,0.536,0118274,SANTA MARIA-SANTA BARBARA,01182,SOUTHERN CALIFORNIA
2026,1.000,1.137,0.579,0121201,"HAWAII, GUAM",01212,HAWAII/GUAM/AMER SAMOA/N MARIANA
2026,1.000,1.001,0.833,0131200,NEVADA,01312,NEVADA
2026,1.500,1.065,0.551,0210201,ALASKA,02102,ALASKA
2026,1.000,0.920,0.473,0220200,IDAHO,02202,IDAHO
2026,1.016,1.111,0.744,0230201,PORTLAND,02302,OREGON
2026,1.000,0.996,0.703,0230299,REST OF OREGON,02302,OREGON
2026,1.050,1.227,0.817,0240202,SEATTLE (KING CNTY),02402,WASHINGTON
2026,1.013,1.053,0.761,0240299,REST OF WASHINGTON,02402,WASHINGTON
2026,1.000,0.969,0.856,0310200,ARIZONA,03102,ARIZONA
2026,1.000,1.000,0.998,0320201,MONTANA,03202,MONTANA
2026,1.000,1.000,0.406,0330201,NORTH DAKOTA,03302,NORTH DAKOTA
2026,1.000,1.000,0.336,0340202,SOUTH DAKOTA,03402,SOUTH DAKOTA
2026,1.000,0.940,0.898,0350209,UTAH,03502,UTAH
2026,1.000,1.000,0.740,0360221,WYOMING,03602,WYOMING
2026,1.012,1.064,0.781,0411201,COLORADO,04112,COLORADO
2026,1.000,0.917,1.201,0421205,NEW MEXICO,04212,NEW MEXICO
2026,1.000,0.893,0.777,0431200,OKLAHOMA,04312,OKLAHOMA
